pk,sk,assigned_cohort,fee,status_code,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,send_for_approval_mechanism_t_c,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship,created_at,created_month,created_quarter,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist
Learner#,Learner#0000000010RVV534CCKJ7NS4X6,,$0.00,,,,,,,,3/5/2024,,,Internship,,,,,,,,,,,1/8/2026,January,Q1,,WorkItem#000000001018MJJTWRW6MR7QJF,,,,,"""ans_type'"":'""boolean'""}"
Learner#,Learner#0000000010RW3DAC96V9S0CZ5Q,,$0.00,,,,,,,,8/30/2023,,,Career,,,,,,,,,,,12/13/2023,December,Q4,,,,,,,"{'""code'"":'""Q3POJB9'"""
Learner#,Learner#0000000010RW8MWEX5ZBQ4Y7P5,,$1.00,,,,,,,,9/30/2024,,,Engagement,,,,,,,,,,,9/26/2024,September,Q3,,WorkItem#00000000105HX673PZVCV5Q7PM,,,,,"{'""serial_number'"":'""0'"""
Learner#97d3cb92-9f45-48ed-b19e-a486c5194a7e,Learner#0000000010RWCKDNQB2H8WRNV7,B2ZKIZV,,1055,Not Started,12/13/2023,$0.00,,unpaid,,12/13/2023,12/13/2023,Accepted by automation,,12/13/2023,,B2ZKIZV,,,,TRUE,,,Applying from cypress automation testing.,10/4/2023,October,Q4,,WorkItem#00000000107P1J0Q73336PHSWV,,,,,
Learner#6ca14518-2878-4135-adc1-06e6f0605e0b,Learner#0000000010RWCKDNQB2H8WRNV7,B2ZKIZV,,1050,Dropped,12/13/2023,$0.00,,unpaid,,12/13/2023,12/13/2023,Accepted by automation,,,,B2ZKIZV,,,,TRUE,,,Applying from cypress automation testing.,11/19/2023,November,Q4,,WorkItem#0000000010YQAFK92Y7FYFDC4N,,,,12/13/2023,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010RWCKDNQB2H8WRNV7,,,1020,Accepted,12/13/2023,$1.00,,unpaid,,12/13/2023,12/13/2023,Accepted by automation,,,,B2ZKIZV,,,,TRUE,,,Applying from cypress automation testing.,8/9/2024,August,Q3,,WorkItem#00000000100YFJ3W8WMD51FWMJ,,,,,
Learner#,Learner#0000000010RWCKDNQB2H8WRNV7,,$0.00,,,,,,,,12/13/2023,,,Masterclass,,,,,,,,,,,10/1/2024,October,Q4,,WorkItem#00000000102HTCS446JSJKYZYD,,,,,"""is_frozen'"":'""false'"""
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010RWCKDNQB2H8WRNV7,,,1110,Withdraw,12/13/2023,$1.00,,unpaid,,12/13/2023,12/13/2023,Accepted by automation,,,,B2ZKIZV,,,,TRUE,,,Applying from cypress automation testing.,1/17/2026,January,Q1,,WorkItem#0000000010D64RZ2DAG66RYHBE,,,,,
Learner#,Learner#0000000010RWCXT67F3P88RBME,,$0.00,,,,,,,,7/21/2023,,,Masterclass,,,,,,,,,,,3/4/2024,March,Q1,,,,,,,
Learner#,Learner#0000000010RWDCRQ3MDP6FWVAY,,$0.00,,,,,,,,1/4/2024,,,Internship,,,,,,,,,,,10/29/2024,October,Q4,,WorkItem#0000000010R2RSJXETXR4J8ZDZ,,,,,FALSE
Learner#,Learner#0000000010RWE7WDC4JBMBT8FV,,$0.00,,,,,,,,1/29/2026,,,JobSimulation,,,,,,,,,,,7/7/2023,July,Q3,,WorkItem#00000000106WYHM1S9154FR31J,,,,,"{'""serial_number'"":'""1'"""
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010RWF9P3RMMJ54RDXE,,,1020,Accepted,8/23/2023,$1.00,,unpaid,TRUE,8/23/2023,8/23/2023,Accepted by automation,,,,BOTI9K4,,,,,,,,5/3/2024,May,Q2,,,,,,,
Learner#,Learner#0000000010RWF9P3RMMJ54RDXE,,$1.00,,,,,,,,8/23/2023,,,Career,,,,,,,,,,,10/14/2025,October,Q4,,,,,,,"{'""code'"":'""QDA1G0J'"""
Learner#f9f52ded-a970-4700-830a-c13df19749e6,Learner#0000000010RWFSWE3GJQX9H2AQ,BV9HYHR,,1070,Team Allocated,3/4/2024,$0.00,,unpaid,TRUE,3/4/2024,3/4/2024,Accepted by automation,,,,BV9HYHR,,,,,,,,,,,,WorkItem#00000000100YTP0B5WVXG570Y2,,,,,
Learner#b0012672-3be3-47a2-a62c-a50742e757e3,Learner#0000000010RWFSWE3GJQX9H2AQ,BV9HYHR,,1070,Team Allocated,3/4/2024,$0.00,,unpaid,TRUE,3/4/2024,3/4/2024,Accepted by automation,,,,BV9HYHR,,,,,,,,6/18/2025,June,Q2,,WorkItem#0000000010FB3BTH3JQ0PZS2P2,,,,,
Learner#,Learner#0000000010RWFSWE3GJQX9H2AQ,,$0.00,,,,,,,,3/4/2024,,,Career,,,,,,,,,,,4/16/2026,April,Q2,,WorkItem#0000000010CDME02ABEA6NXZ0Q,,,,,"""ans_type'"":'""boolean'""}"
Learner#a4460c71-58aa-4d94-8c8f-3031fbbc8811,Learner#0000000010RWS59CB293ZWFSRT,BQIQLUF,,1110,Withdraw,11/26/2025,$0.00,,unpaid,,3/5/2026,11/26/2025,Strong application,,,,BQIQLUF,,,,TRUE,,,For learning purpose,9/18/2024,September,Q3,,WorkItem#000000001066KKKY5W54V88FM6,,,,,
Learner#,Learner#0000000010RWS59CB293ZWFSRT,,$0.00,,,,,,,,11/26/2025,,,Internship,,,,,,,,,,,10/1/2024,October,Q4,,WorkItem#0000000010NBFVXWY4EGWN3839,,,,,"{'""serial_number'"":'""1'"""
Learner#,Learner#0000000010RWVBBV8SFSMSYCGY,,$0.00,,,,,,,,8/7/2023,,,Course,,,,,,,,,,,8/5/2024,August,Q3,,,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#0000000010RWX1W63XQ9R00QMD,,$0.00,,,,,,,,9/21/2023,,,Career,,,,,,,,,,,10/27/2025,October,Q4,,,,,,,"{'""code'"":'""QSLV3YL'"""
Learner#,Learner#0000000010RX5KBJNDJMXZ3VKF,,$0.00,,,,,,,,12/22/2023,,,Competition,,,,,,,,,,,9/8/2025,September,Q3,,WorkItem#0000000010KX3PGK45GJ9ER8RN,,,,,
Learner#,Learner#0000000010RX79X6D8JYT24V18,,$0.00,,,,,,,,12/18/2025,,,Competition,,,,,,,,,,,8/14/2024,August,Q3,,WorkItem#0000000010GA4AHZF2TD8R4WPH,,,,,"""is_required_for_badge_award'"":'""false'"""
Learner#182b00e9-b690-48b9-885e-d083d6cc03e9,Learner#0000000010RXQSPHBVDSW1B3KH,BC2O3IJ,,1070,Team Allocated,1/13/2026,$0.00,,unpaid,,1/13/2026,1/13/2026,Strong application,,,,BC2O3IJ,,,,TRUE,,,asdv,6/17/2023,June,Q2,,WorkItem#0000000010Q1JV17X78W8KW8YT,,,,,
Learner#3bf70dc1-fe0a-4959-9241-f471470f0e3a,Learner#0000000010RXQSPHBVDSW1B3KH,BC2O3IJ,,1110,Withdraw,1/22/2026,$0.00,,unpaid,,1/22/2026,1/22/2026,Candidate meets all requirements,,,,BC2O3IJ,,,,TRUE,,,12345,8/24/2023,August,Q3,,WorkItem#0000000010EHW1SVHS5N9YVBTW,,,,,
Learner#,Learner#0000000010RXQSPHBVDSW1B3KH,,$0.00,,,,,,,,1/13/2026,,,Internship,,,,,,,,,,,2/29/2024,February,Q1,,WorkItem#0000000010M84SWSHZB5WAXSJB,,,,,"{'""serial_number'"":'""1'"""
Learner#4403d41c-3c00-4c9d-9de6-77af44279a79,Learner#0000000010RY1QAS7FC9WYAYWG,,,1010,Applied,,$0.00,,unpaid,,7/2/2023,7/2/2023,,,,,BGDF0CK,,,,TRUE,,,lgtm,2/23/2023,February,Q1,,,,,,,
Learner#,Learner#0000000010RY1QAS7FC9WYAYWG,,$0.00,,,,,,,,7/14/2023,,,Internship,,,,,,,,,,,7/10/2023,July,Q3,,,,,,,
Learner#cb923b01-0598-4320-bf46-ed0989e1b707,Learner#0000000010RY1QAS7FC9WYAYWG,BGDF0CK,,1070,Team Allocated,6/17/2023,$0.00,,unpaid,,6/17/2023,6/17/2023,Accepted by automation,,,,BGDF0CK,,,,TRUE,,,Applying from cypress automation testing.,10/31/2023,October,Q4,,,,,,,
Learner#3cacb4d5-6e17-48b2-b7a1-09b91462bc6f,Learner#0000000010RY1QAS7FC9WYAYWG,BRZQ37B,,1120,Rewards,7/14/2023,$0.00,,unpaid,,7/24/2023,7/14/2023,dgdfg,,,,BGDF0CK,,,,TRUE,,,Testing,5/3/2024,May,Q2,,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010RY1QAS7FC9WYAYWG,BGDF0CK,,1070,Team Allocated,6/17/2023,$0.00,,unpaid,,6/17/2023,6/17/2023,Accepted by automation,,,,BGDF0CK,,,,TRUE,,,Applying from cypress automation testing.,2/18/2026,February,Q1,,,,,,,
Learner#,Learner#0000000010RY5QHAXZ0E21G2BD,,$0.00,,,,,,,,10/5/2023,,,Competition,,,,,,,,,,,9/25/2024,September,Q3,,,,,,,"""is_frozen'"":'""false'"""
Learner#c86f0318-f6be-46a1-8028-b91b71d1ff91,Learner#0000000010RY9MP0M2A7ED6ASY,,,1010,Applied,,$5.00,,unpaid,,5/20/2025,5/20/2025,,,,,BZ1PMTJ,,,yes yes yes,TRUE,,,yes yes yes,2/13/2024,February,Q1,,,,,,,
Learner#,Learner#0000000010RY9MP0M2A7ED6ASY,,$5.00,,,,,,,,5/12/2025,,,Internship,,,,,,,,,,,9/17/2024,September,Q3,,WorkItem#000000001009SKTEN7K5WW2GE4,,,,,"{'""serial_number'"":'""1'"""
Learner#5abc674e-6d49-478b-8800-fbe7c3eb894c,Learner#0000000010RY9MP0M2A7ED6ASY,,,1010,Applied,,$5.00,,unpaid,,5/19/2025,5/19/2025,,,,,BZ1PMTJ,,,,TRUE,,,Learning,10/1/2024,October,Q4,https://sites.google.com/,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010RYFFM1ZHJPKG3A0D,BXI26QT,,1120,Rewards,8/24/2023,$0.00,,unpaid,TRUE,8/25/2023,8/24/2023,Accepted by automation,,,,BXI26QT,,,,,,,,6/7/2024,June,Q2,,,,,,,
Learner#,Learner#0000000010RYFFM1ZHJPKG3A0D,,$0.00,,,,,,,,8/25/2023,,,Career,,,,,,,,,,,10/1/2024,October,Q4,,,,,,,"""ans_type'"":'""string'""}"
Learner#,Learner#0000000010RYQJGX2E1K16962H,,$0.00,,,,,,,,7/10/2023,,,Internship,,,,,,,,,,,3/20/2023,March,Q1,,,,,,,
Learner#,Learner#0000000010RZ1JSZ40VP9STA1D,,$0.00,,,,,,,,2/4/2026,,,JobSimulation,,,,,,,,,,,6/16/2023,June,Q2,,WorkItem#00000000109JRRTCCDYQBY08NX,,,,,"{'""serial_number'"":'""1'"""
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010RZ4Z3TVZH92MY9CD,BNDOAD0,,1070,Team Allocated,10/17/2023,$0.00,,unpaid,,10/23/2023,10/17/2023,This is an auto approved opportunity,,,,BNDOAD0,,,,TRUE,,,df,7/31/2023,July,Q3,,,,,,,
Learner#55413164-e880-419d-8b3d-9ebe12c88cd7,Learner#0000000010RZ4Z3TVZH92MY9CD,B1US4X3,,1070,Team Allocated,10/17/2023,$0.00,,unpaid,,10/23/2023,10/17/2023,This is an auto approved opportunity,,,,B1US4X3,,,,TRUE,,,df,2/29/2024,February,Q1,,,,,,,
Learner#,Learner#0000000010RZ4Z3TVZH92MY9CD,,$0.00,,,,,,,,10/23/2023,,,Course,,,,,,,,,,,4/23/2025,April,Q2,,,,,,,
Learner#,Learner#0000000010RZAR51C7TP495M9X,,$0.00,,,,,,,,3/4/2024,,,Competition,,,,,,,,,,,6/2/2024,June,Q2,,WorkItem#0000000010TYBXZ9R6H4QN6SSR,,,,,"""is_frozen'"":'""false'"""
Learner#97d3cb92-9f45-48ed-b19e-a486c5194a7e,Learner#0000000010RZAR51C7TP495M9X,BB1XP4Z,,1055,Not Started,3/4/2024,$0.00,,unpaid,,3/4/2024,3/4/2024,Accepted by automation,,3/4/2024,,BB1XP4Z,,,Applying from cypress automation testing.,TRUE,,,,9/26/2024,September,Q3,,WorkItem#0000000010B0Q4QKH11G53EQ29,,,,,
Learner#b0012672-3be3-47a2-a62c-a50742e757e3,Learner#0000000010RZC4CVKSBPSHC892,BBA15AF,,1120,Rewards,6/24/2025,$0.00,,unpaid,TRUE,8/14/2025,6/24/2025,This is an auto approved opportunity,,,,BBA15AF,,,,,,,,,,,,WorkItem#000000001090RWA4MDATST5CWW,,,,,
Learner#,Learner#0000000010RZC4CVKSBPSHC892,,$0.00,,,,,,,,6/24/2025,,,Event,,,,,,,,,,,3/20/2024,March,Q1,,WorkItem#0000000010JYP8QT9CFW8DMNAQ,,,,,"""is_frozen'"":'""false'"""
Learner#f9f52ded-a970-4700-830a-c13df19749e6,Learner#0000000010RZC4CVKSBPSHC892,,,1030,Rejected,6/24/2025,$0.00,,unpaid,TRUE,6/24/2025,6/24/2025,Irrelevant answers that donâ€™t address the question.,,,,BBA15AF,,,,,,,,4/17/2024,April,Q2,,WorkItem#0000000010RY0T4VCVHGFPG3Z9,,,,,
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010RZC4CVKSBPSHC892,BBA15AF,,1120,Rewards,6/24/2025,$0.00,,unpaid,TRUE,8/14/2025,6/24/2025,Candidate meets all requirements,,,,BBA15AF,,,,,,,,11/5/2024,November,Q4,,WorkItem#0000000010CH25GQ2JXZ4B7GBH,,,,,
Learner#13c5db90-b9df-4192-a33c-23c23b416481,Learner#0000000010RZK3ESWXXCFGZP7D,BD37DCB,,1070,Team Allocated,5/8/2025,$0.00,,unpaid,,5/8/2025,4/22/2025,ok,,,,BD37DCB,,,For Learning Purpose,TRUE,,,,6/15/2023,June,Q2,http://localhost:60311/user-profile/personal-information,WorkItem#0000000010EMPVRDBNB0J6JBGP,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010RZK3ESWXXCFGZP7D,BD37DCB,,1070,Team Allocated,5/13/2025,$0.00,,unpaid,,5/13/2025,5/13/2025,%0AReason for Accepti,,,,BD37DCB,,,yes yes yes,TRUE,,,,11/18/2023,November,Q4,,WorkItem#00000000101EYQ3EYNQFVV8A7T,,,,,
Learner#,Learner#0000000010RZK3ESWXXCFGZP7D,,$0.00,,,,,,,,6/6/2025,,,Career,,,,,,,,,,,4/20/2026,April,Q2,,WorkItem#0000000010R6R1PFWS7BWY8SVQ,,,,,"""code'"":'""Q2L0722'"""
Learner#010364a2-767f-4bc8-9dcb-c000dcae9f04,Learner#0000000010RZKGTRCSBD63XM8V,,,1010,Applied,,$0.00,,unpaid,,12/1/2023,12/1/2023,,,,,B1UQIM2,test,TQKGICY,12344567,TRUE,manual,,,2/21/2023,February,Q1,,,,,,,
Learner#,Learner#0000000010RZKGTRCSBD63XM8V,,$0.00,,,,,,,,12/1/2023,,,Competition,,,,,,,,,,,11/1/2023,November,Q4,,,,,,,
Learner#,Learner#0000000010RZR7JKGPP23V95Z3,,$0.00,,,,,,,,3/28/2024,,,Masterclass,,,,,,,,,,,10/2/2025,October,Q4,,WorkItem#0000000010HND51VFDQMQA6XH2,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010RZVYSCY5XPXRPJKJ,BVLOK7U,,1070,Team Allocated,3/18/2025,$0.00,,unpaid,,3/20/2025,3/18/2025,1234567890,,,,BVLOK7U,,,,TRUE,,,12345678,3/1/2024,March,Q1,,WorkItem#0000000010T63FZSAPVK1ZRKFA,,,,,
Learner#,Learner#0000000010RZVYSCY5XPXRPJKJ,,$0.00,,,,,,,,3/20/2025,,,JobSimulation,,,,,,,,,,,4/4/2024,April,Q2,,WorkItem#0000000010DVVBBK0679QVT6B3,,,,,"{'""serial_number'"":'""0'"""
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010RZVYSCY5XPXRPJKJ,BVLOK7U,,1070,Team Allocated,3/18/2025,$0.00,,unpaid,,3/20/2025,3/18/2025,1234567890,,,,BVLOK7U,,,,TRUE,,,12345678,7/23/2024,July,Q3,,WorkItem#0000000010Z31QXAV0CZG09MK4,,,,,
Learner#5b103f6b-b175-46e1-b148-0683da9aff14,Learner#0000000010S04100VA8E4NAE6H,BVEOFOZ,,1050,Dropped,6/20/2023,$0.00,,unpaid,,6/26/2023,6/20/2023,accpt,,,,BVEOFOZ,,,,,,,,6/14/2023,June,Q2,,,,,,6/26/2023,
Learner#,Learner#0000000010S04100VA8E4NAE6H,,$0.00,,,,,,,,6/26/2023,,,Career,,,,,,,,,,,9/13/2024,September,Q3,,,,,,,
Learner#,Learner#0000000010S06EAY88E6PWGVYG,,$0.00,,,,,,,,3/25/2024,,,Competition,,,,,,,,,,,9/22/2023,September,Q3,,WorkItem#0000000010E6TE53AXGGQ6QXJ5,,,,,"{'""code'"":'""Q06O6ZW'"""
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010S06EAY88E6PWGVYG,BFTI96H,,1070,Team Allocated,4/8/2024,$0.00,,unpaid,,4/8/2024,3/25/2024,yes,,,,BFTI96H,,,111111,TRUE,,,,7/15/2024,July,Q3,,WorkItem#0000000010EVGXV5BT7DMN86RP,,,,,
Learner#,Learner#0000000010S06KATYZJA0N139T,,$0.00,,,,,,,,10/4/2024,,,Course,,,,,,,,,,,,,,,WorkItem#0000000010GC97BP067DME0V3J,,,,,"""is_frozen'"":'""false'"""
Learner#3cacb4d5-6e17-48b2-b7a1-09b91462bc6f,Learner#0000000010S077W8C14WXA2JFX,BTYNF0X,,1070,Team Allocated,4/18/2024,$0.00,,unpaid,,4/18/2024,4/18/2024,LGTM msd,,,,BTYNF0X,,,,TRUE,,,Testing,4/12/2023,April,Q2,,WorkItem#0000000010VGK4E12PXFC7A608,,,,,
Learner#72d530e5-edca-40e6-b47f-1c1ddf06b4bf,Learner#0000000010S077W8C14WXA2JFX,BTYNF0X,,1070,Team Allocated,4/18/2024,$0.00,,unpaid,,4/18/2024,4/18/2024,msd,,,BEZDV7C,BTYNF0X,,,,TRUE,,,Testing,5/17/2024,May,Q2,,WorkItem#00000000104M1QFBS346FWW880,,,,,
Learner#,Learner#0000000010S077W8C14WXA2JFX,,$0.00,,,,,,,,6/23/2024,,,Internship,,,,,,,,,,,6/27/2024,June,Q2,,WorkItem#0000000010S4VEEV1T5X8GFTHH,,,,,"""is_frozen'"":'""false'"""
Learner#2f958f15-8e19-44e1-b54b-acd6ed6f0118,Learner#0000000010S077W8C14WXA2JFX,BEZDV7C,,1070,Team Allocated,4/18/2024,$0.00,,unpaid,,4/18/2024,4/18/2024,LGTM MSD,,,BEZDV7C,BTYNF0X,,,,TRUE,,,Testing,,,,,WorkItem#00000000101A44WMFY40CFXVHM,,,,,
Learner#35596f45-67d4-4d3b-befe-741ba15f942a,Learner#0000000010S077W8C14WXA2JFX,BEZDV7C,,1050,Dropped,4/2/2024,$0.00,,unpaid,,4/16/2024,3/18/2024,done,,,,BTYNF0X,,,,TRUE,,,asdfsadf,,,,,WorkItem#0000000010S24BK5ZRYPGA8AGJ,,,,4/16/2024,
Learner#a0dda5b3-9c0e-40ee-afc3-4655c16212b7,Learner#0000000010S077W8C14WXA2JFX,BEZDV7C,,1110,Withdraw,6/6/2024,$0.00,,unpaid,,6/23/2024,5/28/2024,ss,,,,BEZDV7C,,,,TRUE,,,i just wat to do.... and nothing else,5/1/2025,May,Q2,,WorkItem#0000000010Z0M8C9Q7T3QQ9AQ6,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010S077W8C14WXA2JFX,BTYNF0X,,1070,Team Allocated,4/4/2024,$0.00,,unpaid,,4/18/2024,4/4/2024,done,,,,BTYNF0X,,,,TRUE,,,to learn,6/25/2025,June,Q2,,WorkItem#00000000107G5G0T9KZKTXFQGA,,,,,
Learner#,Learner#0000000010S0EXHFX0HAFBSZ04,,$0.00,,,,,,,,11/2/2023,,,Competition,,,,,,,,,,,1/22/2024,January,Q1,,,,,,,
Learner#31226377-4c97-4d6c-8b67-126601474c0c,Learner#0000000010S0EXHFX0HAFBSZ04,,,1010,Applied,,$0.00,,unpaid,,11/2/2023,11/2/2023,,,,,B1AMR7V,Team Compete 1698918543996,T8SAJQE,,TRUE,manual,,,10/4/2024,October,Q4,,,,,,,
Learner#,Learner#0000000010S0F95DHJ78BPZ3BC,,$1.00,,,,,,,,3/5/2024,,,Course,,,,,,,,,,,8/7/2023,August,Q3,,WorkItem#00000000101JNE6GEP1P6A4DNP,,,,,"""is_frozen'"":'""false'"""
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010S0F95DHJ78BPZ3BC,B6IGXTP,,1080,Started,3/1/2024,$1.00,pi_3OpR6BHbktQoRPOz14YGgFZl,paid,TRUE,3/1/2024,3/1/2024,Accepted by automation,,,,B6IGXTP,,,,,,,,9/21/2023,September,Q3,,WorkItem#0000000010NJPBP79CWQNAVQHN,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010S0HC8X2GXGVCPYCA,BR23G2J,,1110,Withdraw,9/22/2023,$0.00,,unpaid,,9/22/2023,9/22/2023,Accepted by automation,,,,BR23G2J,,,,TRUE,,,Applying from cypress automation testing.,6/17/2023,June,Q2,,,,,,,
Learner#,Learner#0000000010S0HC8X2GXGVCPYCA,,$0.00,,,,,,,,9/21/2023,,,Masterclass,,,,,,,,,,,10/5/2023,October,Q4,,,,,,,"{'""code'"":'""Q2IRHGJ'"""
Learner#214f8fe1-931e-4da8-b485-1a5633833368,Learner#0000000010S0HC8X2GXGVCPYCA,BR23G2J,,1110,Withdraw,9/22/2023,$0.00,,unpaid,,9/22/2023,9/22/2023,Accepted by automation,,,,BR23G2J,,,,TRUE,,,Applying from cypress automation testing.,12/15/2023,December,Q4,,,,,,,
Learner#2e5c613a-e7e7-4e04-a794-af9f05a06a0f,Learner#0000000010S0HC8X2GXGVCPYCA,BR23G2J,,1050,Dropped,9/21/2023,$0.00,,unpaid,,9/21/2023,9/21/2023,Accepted by automation,,,,BR23G2J,,,,TRUE,,,Applying from cypress automation testing.,11/22/2024,November,Q4,,,,,,9/21/2023,
Learner#2240afd2-69e5-4e41-8579-165a87ad5181,Learner#0000000010S0HC8X2GXGVCPYCA,BR23G2J,,1055,Not Started,9/21/2023,$0.00,,unpaid,,9/21/2023,9/21/2023,Accepted by automation,,9/21/2023,,BR23G2J,,,,TRUE,,,Applying from cypress automation testing.,2/27/2026,February,Q1,,,,,,,
Learner#,Learner#0000000010S0M6W1WA1D8PG818,,$0.00,,,,,,,,3/2/2024,,,Career,,,,,,,,,,,3/13/2024,March,Q1,,WorkItem#0000000010K54E2F17BK0913DG,,,,,
Learner#fc367037-3efd-48a2-8f4a-766a9ff73091,Learner#0000000010S0P616M9Y2PT5QCT,,,1010,Applied,,$0.00,,unpaid,,1/17/2024,1/17/2024,,,,,B5QXRO8,team maet,T93OI1S,69ba23,TRUE,automatic,,,8/28/2023,August,Q3,,,,,,,
Learner#,Learner#0000000010S0P616M9Y2PT5QCT,,$0.00,,,,,,,,1/17/2024,,,Competition,,,,,,,,,,,3/4/2024,March,Q1,,WorkItem#0000000010KQVF524KE2DRDQ2Y,,,,,"{'""code'"":'""QQL0X04'"""
Learner#,Learner#0000000010S120NC4FQ71R3CHQ,,$0.00,,,,,,,,4/22/2026,,,Career,,,,,,,,,,,8/14/2025,August,Q3,,WorkItem#0000000010F8Z9BQ00CG7AHVHT,,,,,
Learner#,Learner#0000000010S1KCD9S2K6TJDYDT,,$0.00,,,,,,,,8/26/2025,,,Engagement,,,,,,,,,,,6/26/2023,June,Q2,,WorkItem#000000001049NDBV0KNR7WNNV7,,,,,"{'""serial_number'"":'""1'"""
Learner#56a4a16b-6b54-4329-ad5a-7929d2c6a23c,Learner#0000000010S1KCD9S2K6TJDYDT,B7Q9TMD,,1070,Team Allocated,8/26/2025,$0.00,,unpaid,,8/26/2025,8/26/2025,Strong application,,,,B7Q9TMD,,,,TRUE,,,Applu,8/6/2024,August,Q3,,WorkItem#0000000010EG195FH92KP2TWKS,,,,,
Learner#,Learner#0000000010S1PXD2QSZBHMDE7K,,$0.00,,,,,,,,11/19/2023,,,Internship,,,,,,,,,,,5/31/2024,May,Q2,,,,,,,"""question'"":'""Question3'"""
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010S1PXD2QSZBHMDE7K,,,1030,Rejected,12/19/2023,$0.00,,unpaid,,12/19/2023,12/18/2023,a,,,,BQCCZDO,,,,TRUE,,,Testing,,,,,WorkItem#00000000104K047FF4SXGBG3VT,,,,,
Learner#,Learner#0000000010S1VBTNRMNN5W4PE1,,$2.00,,,,,,,,12/20/2023,,,Internship,,,,,,,,,,,12/13/2023,December,Q4,,WorkItem#0000000010G10C5XFG1VB6YHPV,,,,,"""ans_type'"":'""string'""}"
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#0000000010S264S9571990J71T,BMBRTN7,,1120,Rewards,3/25/2025,$1.00,,paid,,3/25/2025,3/25/2025,Accepted by automation,,,,BMBRTN7,,,,TRUE,,,Applying from cypress automation testing.,8/10/2023,August,Q3,,WorkItem#0000000010KVZJWBYG0PR0R64M,,,,,
Learner#,Learner#0000000010S264S9571990J71T,,$1.00,,,,,,,,3/25/2025,,,JobSimulation,,,,,,,,,,,8/30/2023,August,Q3,,WorkItem#000000001015TQJKC5YTKGBB3S,,,,,"""is_frozen'"":'""false'"""
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#0000000010S2QZWC0TEQ4AJKPN,BUPAM6B,,1070,Team Allocated,3/12/2025,$1.00,,paid,,3/13/2025,3/12/2025,This is an auto approved opportunity,,,,BUPAM6B,,,111111,TRUE,,,,4/25/2025,April,Q2,,WorkItem#0000000010M502MKKWFZ1W6EJN,,,,,
Learner#,Learner#0000000010S2QZWC0TEQ4AJKPN,,$1.00,,,,,,,,3/12/2025,,,Competition,,,,,,,,,,,,,,,WorkItem#0000000010XPEPE9W528RBB0F2,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#0000000010S2S0T41CN03WB4R5,,$0.00,,,,,,,,3/31/2025,,,JobSimulation,,,,,,,,,,,10/23/2023,October,Q4,,WorkItem#0000000010FESXBS3PVHZZ6JQ7,,,,,"""question'"":'""Question2'"""
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#0000000010S2S0T41CN03WB4R5,,,1010,Applied,,$0.00,,unpaid,,3/20/2025,3/20/2025,,,,,BL0TTA1,,,,TRUE,,,Applying from cypress automation testing.,8/7/2024,August,Q3,,,,,,,
Learner#03db4b84-a7e6-4ea9-951b-ac34ca7ae258,Learner#0000000010S2S0T41CN03WB4R5,,,1010,Applied,,$0.00,,unpaid,,3/31/2025,3/31/2025,,,,BSNP487,BL0TTA1,,,,TRUE,,,1234567,9/14/2025,September,Q3,,,,,,,
Learner#,Learner#0000000010S2W5BN21RJ08943R,,$1.00,,,,,,,,4/20/2024,,,Career,,,,,,,,,,,3/31/2025,March,Q1,,WorkItem#0000000010W4GDCN7R4DAN1J1P,,,,,"""question'"":'""Additional Notes'"""
